Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
pop2_s-17B,gaze,81171265,8826757,2371057,2371057,909970,297771,88590,3584394,45483,145705,86263,0,14249
pop2_s-17B,gaze_vberti,80345546,11657631,91691227,23943439,1338215,376081,97026,2310795,111564,129025,52395,67747788,1620861
roms_s-294B,no,153686211,177187,0,0,0,0,0,14978588,0,0,2125979,0,0
roms_s-294B,vberti,72384063,6597932,185157122,20932161,2253649,229144,81108,1396861,145941,355559,125171,164224961,542407
roms_s-294B,gaze,81697913,1854873,4925923,4925923,2312461,192220,70072,1774851,1189,835978,201771,0,2051
roms_s-294B,gaze_vberti,71894884,6254244,182722716,20350563,2278302,232798,84172,1353184,134335,376154,117047,162372153,250629
roms_s-523B,no,296689777,191025,0,0,0,0,0,30944596,0,0,3231549,0,0
roms_s-523B,vberti,263115548,130894730,457605334,22696801,2164824,183117,486260,11030527,624330,811482,487173,434908533,825670
roms_s-523B,gaze,241505491,55759954,5097055,5097055,2408095,126543,646632,12192036,258034,539931,581878,0,38663
roms_s-523B,gaze_vberti,261181215,138099850,486010610,23590952,2256885,190835,523721,10097050,608419,795443,415099,462419658,508740
xalancbmk_s-10B,no,340465714,348785,0,0,0,0,0,11561243,0,0,4489462,0,0
xalancbmk_s-10B,vberti,338468327,307246,3857292,1991929,28697,7634,1319,11408515,87784,81338,4388728,1865363,266378
xalancbmk_s-10B,gaze,342085527,3101329,3816455,3816455,528505,2019141,53555,11226474,26088,452687,4148805,0,647
xalancbmk_s-10B,gaze_vberti,343195189,2902609,8174201,6265188,547718,2024095,58405,10830175,86996,545161,4090887,1909013,220641
xalancbmk_s-202B,no,202466519,871,0,0,0,0,0,12617739,0,0,3736803,0,0
xalancbmk_s-202B,vberti,141397168,2529827,90044876,30517845,4117868,67404,32100,1343029,180396,267025,505510,59527031,456051
xalancbmk_s-202B,gaze,109190365,2502368,5853371,5853371,4319494,219826,98983,2514020,188564,11602,357915,0,65030
xalancbmk_s-202B,gaze_vberti,109280363,3461901,98058046,37177290,4877429,361032,97650,437526,74191,498416,42259,60880756,497678
