Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
gcc_s-734B,ipcp_l1,105548516,1097885,4649130,4587406,3064738,445926,15092,422129,0,0,62994,61724,119
gcc_s-734B,vberti,113892941,83130,178748383,62703484,3034869,253943,1875,383471,23976,113636,62576,116044899,375391
gcc_s-734B,gaze_vberti,112064280,318741,187012451,65222190,3056717,319465,2865,337850,14162,161046,48868,121790261,531403
lbm_s-2676B,no,465639031,73316824,0,0,0,0,0,6634036,0,0,1094559,0,0
lbm_s-2676B,gaze,411443901,452875874,960181,960181,939245,0,198848,1978344,829,0,154484,0,0
lbm_s-2676B,gaze_ipcp_l1,405780414,549465429,2026477,2022933,955182,0,202487,1809196,711,157,138665,3544,26237
lbm_s-2676B,ipcp_l1,419778566,676237307,1116554,1115490,939041,0,188957,1898812,0,0,155520,1064,0
lbm_s-2676B,vberti,436754506,556992498,444646861,4874574,378243,0,765,3891436,471256,51274,245062,439772287,120827
lbm_s-2676B,gaze_vberti,420358765,816266381,1018764579,4006815,838533,0,95669,1605153,194519,116901,61506,1014757764,153265
mcf_s-1536B,no,572296925,19653,0,0,0,0,0,19229732,0,0,5040748,0,0
mcf_s-1536B,gaze,612186307,20471262,2195797,2195797,764042,1413845,66448,18656999,0,0,5011535,0,2
mcf_s-1536B,gaze_ipcp_l1,819840908,401346601,16697979,16628580,1354560,12686040,207133,19286488,0,0,2978415,69399,41047
mcf_s-1536B,ipcp_l1,804803026,347825256,15199377,15152150,1071612,12097856,215354,19554573,0,0,2971594,47227,0
mcf_s-1536B,vberti,593916277,24488,19163021,19072953,915099,552954,11126,18411612,1648420,3125085,5000613,90068,23263
mcf_s-1536B,gaze_vberti,611293084,15165303,27709502,20958411,1417379,1826759,62531,17991621,1447254,2760984,4999510,6751091,48273
mcf_s-665B,no,295661578,1764037,0,0,0,0,0,8999951,0,0,1722979,0,0
mcf_s-665B,gaze,263927297,3675993,2366259,2366259,1084025,237917,27441,5980029,166527,14576,615048,0,1115
mcf_s-665B,gaze_ipcp_l1,292180186,10251151,14529264,14094825,1834283,4517945,64035,5544384,53390,15458,728300,434439,51007
mcf_s-665B,ipcp_l1,298484509,11252718,13032436,12604808,1838010,4320109,232705,5970864,0,0,765134,427628,30
mcf_s-665B,vberti,258687438,1605178,69715235,45505795,1263351,12606,3634,5247939,60655,76068,529702,24209440,1073233
mcf_s-665B,gaze_vberti,261860002,2148083,61260852,45325224,1355341,239194,4445,5011687,56502,92611,535685,15935628,1026359
omnetpp_s-141B,no,376256519,298,0,0,0,0,0,5884700,0,0,1905360,0,0
omnetpp_s-141B,gaze,393919310,1781213,1212707,1212707,171933,940171,51586,5662813,0,0,1821516,0,39
omnetpp_s-141B,gaze_ipcp_l1,421609536,4573679,7268439,7260713,459502,2978943,76444,5799262,0,0,1741025,7726,34197
omnetpp_s-141B,ipcp_l1,403521136,1255227,6054193,6050835,294043,2044085,28979,5907827,0,0,1815235,3358,0
omnetpp_s-141B,vberti,376084619,288,8357,8357,485,1334,8,5881511,854,3515,1904129,0,9
omnetpp_s-141B,gaze_vberti,393378054,1733909,1220247,1219378,171957,947570,50701,5827824,343,1473,1820276,869,16
pop2_s-17B,no,89182255,7051360,0,0,0,0,0,6446815,0,0,450210,0,0
pop2_s-17B,gaze,81171265,8826757,2371057,2371057,909970,297771,88590,3584394,45483,145705,86263,0,14249
pop2_s-17B,gaze_ipcp_l1,80564934,11653472,6976472,6573168,1458545,362463,306092,2671923,33723,134472,41623,403304,93221
pop2_s-17B,ipcp_l1,82592759,14771466,14285637,8758680,1505662,382500,186460,2401847,0,0,68867,5526957,43589
pop2_s-17B,vberti,83127996,11326097,87170623,19575139,1039560,176470,75677,3184883,117569,82507,133810,67595484,874170
pop2_s-17B,gaze_vberti,80764905,11349468,93452062,20994332,1334261,367639,103022,2342699,105719,123579,56516,72457730,865669
roms_s-294B,no,153686211,177187,0,0,0,0,0,14978588,0,0,2125979,0,0
roms_s-294B,gaze,81697913,1854873,4925923,4925923,2312461,192220,70072,1774851,1189,835978,201771,0,2051
roms_s-294B,gaze_ipcp_l1,78695469,1692598,9597801,8486829,2497362,196170,190587,1726174,1485,795566,124996,1110972,118331
roms_s-294B,ipcp_l1,94220417,3683482,17558329,9985946,2138337,188688,126395,3111630,0,0,429737,7572383,33353
roms_s-294B,vberti,73360028,4662870,185932741,18601850,2231090,213763,82263,1554045,139313,305634,150971,167330891,166082
roms_s-294B,gaze_vberti,74072033,4215127,189768392,18864216,2238983,214640,80560,1572520,127247,321182,163154,170904176,328173
roms_s-523B,no,296689777,191025,0,0,0,0,0,30944596,0,0,3231549,0,0
roms_s-523B,gaze,241505491,55759954,5097055,5097055,2408095,126543,646632,12192036,258034,539931,581878,0,38663
roms_s-523B,gaze_ipcp_l1,258440094,175411283,14476880,9899243,2768680,181370,964435,12606132,58317,316576,430186,4577637,420881
roms_s-523B,ipcp_l1,271165116,201993404,11522135,7314122,2757148,172845,1172713,15203167,0,0,477059,4208013,50756
roms_s-523B,vberti,264553796,116586185,463167703,19122604,2102201,161569,458026,11271021,620800,716914,542472,444045099,558041
roms_s-523B,gaze_vberti,261156507,113825695,481748544,19588476,2152985,163680,470645,11031312,582110,692184,526857,462160068,488251
xalancbmk_s-10B,no,340465714,348785,0,0,0,0,0,11561243,0,0,4489462,0,0
xalancbmk_s-10B,gaze,342085527,3101329,3816455,3816455,528505,2019141,53555,11226474,26088,452687,4148805,0,647
xalancbmk_s-10B,gaze_ipcp_l1,372811027,15646671,10164525,9888307,902378,4864921,141376,9767736,19779,368266,3848589,276218,437726
xalancbmk_s-10B,ipcp_l1,364363026,1844772,6752967,6545424,606724,3202131,94118,11091671,0,0,4046655,207543,2
xalancbmk_s-10B,vberti,338812914,313846,3955651,1767477,28378,7663,1067,11409623,86734,79957,4392581,2188174,158277
xalancbmk_s-10B,gaze_vberti,343349089,2917089,8173657,6068945,547763,2025318,58569,10832972,86608,544547,4091856,2104712,90472
xalancbmk_s-202B,no,202466519,871,0,0,0,0,0,12617739,0,0,3736803,0,0
xalancbmk_s-202B,gaze,109190365,2502368,5853371,5853371,4319494,219826,98983,2514020,188564,11602,357915,0,65030
xalancbmk_s-202B,gaze_ipcp_l1,104778586,1280902,11766140,11569169,4686502,440993,176951,1334403,7160,20859,248215,196971,919314
xalancbmk_s-202B,ipcp_l1,117888015,4637400,8047366,7758186,4560758,428354,225573,1774101,0,0,361456,289180,0
xalancbmk_s-202B,vberti,162633812,469631,88577817,22966264,3456911,50486,26969,2186682,171532,73739,1028893,65611553,352493
xalancbmk_s-202B,gaze_vberti,108936570,1109262,96416877,29983100,4845818,349704,132677,498265,66651,384697,71876,66433777,371639
roms_s-523B,pmp,243109194,73271654,3190644,3190644,2483446,257570,712901,13044891,74105,50017,677750,0,258
cactuBSSN_s-3477B,pmp,76709531,19795685,5636090,5636090,172810,888186,30976,17505372,189757,33654,241986,0,3356
gcc_s-734B,pmp,109009983,127576,3566737,3566737,2918559,314495,6637,757188,54817,142970,102103,0,0
mcf_s-1536B,pmp,714419669,268012,12624198,12624198,566242,2458355,38819,19627895,1277049,6792402,4988560,0,10
bwaves_s-2609B,pmp,134116396,30224641,3378487,3378487,2847675,130346,329155,3416723,96,100,902860,0,59
omnetpp_s-141B,pmp,440965154,125246,12882556,12882556,323552,1419342,29083,5470062,548490,3867922,1615399,0,748
xalancbmk_s-10B,pmp,354906170,385685,10037922,10037922,205099,1242934,48149,11194789,731072,3970811,3817032,0,477
lbm_s-2676B,pmp,410349250,420341845,970200,970200,937782,0,201931,1969821,0,0,156776,0,0
gcc_s-1850B,pmp,134574518,536800,6254811,6254811,3910224,729959,213665,2751637,20007,31730,323921,0,14
mcf_s-665B,pmp,305890133,10270015,9275375,9275375,933025,1360680,33384,6407437,460079,2008754,889429,0,439
xalancbmk_s-202B,pmp,110882211,284546,5422753,5422753,4347976,427247,83294,2255147,76644,96453,450330,0,3
fotonik3d_s-10881B,pmp,394277814,160135451,4585302,4585302,1216895,364708,379590,9045824,672627,1984067,2698049,0,671
gcc_s-2226B,pmp,228652755,111900661,5756137,5756137,3336467,793600,2476910,54726915,171313,181440,10490642,0,4
pop2_s-17B,pmp,80727823,8810766,4205390,4205390,1162677,627638,127478,3168833,205912,234295,66547,0,5310
bwaves_s-1740B,pmp,133827423,29484107,3382885,3382885,2869925,126534,334484,3376234,119,84,886381,0,61
fotonik3d_s-8225B,pmp,110469623,148079,2564412,2564412,2455763,22354,711605,6080190,243,1597,124421,0,439
cam4_s-490B,pmp,93924897,17961943,2430755,2430755,1792719,144275,220833,4253711,21348,42082,198955,0,508
roms_s-294B,pmp,79557138,2552211,3931924,3931924,2335689,506132,88383,1779462,114791,153996,179000,0,529
roms_s-523B,gaze_pmp,246420479,52491969,6243954,6243954,2409370,220924,682967,12869212,206549,469968,641453,0,163508
cactuBSSN_s-3477B,gaze_pmp,76689396,20015202,6494050,6494050,372253,965399,68155,17395027,162409,30549,244542,0,145846
gcc_s-734B,gaze_pmp,106314346,143228,6932625,6932625,2934624,343757,6494,762967,26551,174725,66851,0,97341
mcf_s-1536B,gaze_pmp,729014507,13968153,13976261,13976261,1288445,3649959,86719,18940565,890362,6031795,4986437,0,26805
bwaves_s-2609B,gaze_pmp,117148438,13080145,8750474,8750474,3082073,114356,163865,2321124,103536,26782,604922,0,154148
omnetpp_s-141B,gaze_pmp,457370099,1113607,13833175,13833175,486080,2358687,72327,5552172,490908,3695557,1567476,0,87140
xalancbmk_s-10B,gaze_pmp,367383158,2707700,13019512,13019512,569468,3004523,80783,10413109,529600,3970523,3718932,0,685328
lbm_s-2676B,gaze_pmp,410977878,429017021,1095620,1095620,944689,0,206199,1968470,186,22,149683,0,28838
gcc_s-1850B,gaze_pmp,128160870,378923,13265439,13265439,3966431,743241,130070,2175419,52805,199213,197920,0,290642
mcf_s-665B,gaze_pmp,307420232,5759727,11596855,11596855,1264787,1484963,26134,5489489,324883,2202771,807322,0,37343
xalancbmk_s-202B,gaze_pmp,103823085,164334,10386656,10386656,4673484,437143,88065,1302663,29825,72596,244575,0,156507
fotonik3d_s-10881B,gaze_pmp,379654616,146022693,7226409,7226409,2290105,813621,459011,6866657,164276,1422570,2131400,0,227820
gcc_s-2226B,gaze_pmp,223058475,104379542,10649367,10649367,3382544,871895,2431172,54270539,1444124,1246542,9168559,0,634652
pop2_s-17B,gaze_pmp,79854256,8616960,5882487,5882487,1413617,781233,119919,2542615,88972,297615,55911,0,102254
bwaves_s-1740B,gaze_pmp,116347917,12993635,8752152,8752152,3109507,126819,173436,2278102,100059,29174,586127,0,152069
fotonik3d_s-8225B,gaze_pmp,91386350,72732,7672529,7672529,2400614,23841,344643,3720043,633663,11547,113964,0,519501
cam4_s-490B,gaze_pmp,93965781,17165706,5047848,5047848,1738774,153669,196913,4431965,84554,65556,196889,0,170472
roms_s-294B,gaze_pmp,78048683,1683661,8332693,8332693,2502783,519510,70022,1489305,1143,643573,177450,0,69966
roms_s-523B,dspatch,262255243,75247746,2787486,2787486,2209325,457523,563837,14536401,0,0,1022235,0,0
cactuBSSN_s-3477B,dspatch,77787055,22805347,10963770,10963770,353293,3523905,45931,18239061,0,0,273213,0,4659
gcc_s-734B,dspatch,119056689,188982,2472659,2472659,2041607,411787,6041,3526917,0,0,190142,0,0
mcf_s-1536B,dspatch,678812879,74771072,12136417,12136417,1616342,9968979,546615,19349318,0,0,1719761,0,0
